M,0,,,,,M,0,,,,,
F,0,,,,,M,0.0003,,,,,
F,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0005,,,,,M,0.0001,,,,,
F,0,,,,,M,0.0002,,,,,
M,0.0049,,,,,M,0.0001,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0002,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0.0005,,,,,
M,0,,,,,M,0.0003,,,,,
M,0,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0.0001,,,,,
M,0.0003,,,,,M,0.0001,,,,,
M,0.0001,,,,,M,0,,,,,
M,0.0003,,,,,M,0,,,,,
M,0,,,,,M,0.0002,,,,,
M,0.0004,,,,,M,0.0001,,,,,
M,0.0001,,,,,M,0,,,,,
M,0.0012,,,,,M,0.0002,,,,,
M,0,,,,,M,0.0006,,,,,
M,0,,,,,M,0,,,,,
F,0,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0.0005,,,,,
M,0,,,,,M,0.0001,,,,,
M,0.0003,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0.0001,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0,,,,,
F,0.0008,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0001,,,,,
M,0,,,,,M,0,,,,,
M,0.0002,,,,,M,0,,,,,
F,0,,,,,M,0.0001,,,,,
F,0.0004,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0,,,,,
F,0.0001,,,,,M,0.0002,,,,,
M,0,,,,,M,0,,,,,
F,0.0001,,,,,M,0.0002,,,,,
M,0.0005,,,,,M,0.0003,,,,,
M,0.0003,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0001,,,,,
M,0.0001,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0004,,,,,
F,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0.0014,,,,,
M,0.0001,,,,,M,0.0002,,,,,
M,0,,,,,M,0,,,,,
F,0.0001,,,,,M,0,,,,,
M,0.0002,,,,,M,0.0002,,,,,
M,0.0006,,,,,M,0.0004,,,,,
M,0,,,,,M,0.0001,,,,,
F,0,,,,,M,0.0003,,,,,
F,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0.0007,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0005,,,,,M,0,,,,,
F,0.0015,,,,,M,0.0001,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0001,,,,,
F,0,,,,,M,0.0001,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0004,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
F,0.0001,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0.0004,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0.0003,,,,,
M,0,,,,,M,0,,,,,
F,0.0006,,,,,M,0,,,,,
M,0.0002,,,,,M,0,,,,,
M,0.0003,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0001,,,,,
M,0,,,,,M,0,,,,,
M,0.0004,,,,,M,0.0009,,,,,
M,0,,,,,M,0.0004,,,,,
F,0,,,,,M,0,,,,,
F,0,,,,,M,0.0002,,,,,
F,0,,,,,M,0,,,,,
F,0,,,,,M,0.0003,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
M,0.0014,,,,,M,0,,,,,
M,0.0002,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0002,,,,,M,0.0001,,,,,
M,0.0004,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0001,,,,,
F,0.0108,,,,,M,0.0001,,,,,
M,0.0003,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0001,,,,,
M,0.0007,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
F,0.0001,,,,,M,0.0002,,,,,
F,0.0002,,,,,M,0.0002,,,,,
M,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0.0003,,,,,
F,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0.0004,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0004,,,,,
F,0,,,,,M,0.0004,,,,,
M,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0,,,,,
M,0.0004,,,,,M,0,,,,,
F,0.0002,,,,,M,0.0001,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0.0001,,,,,
F,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
F,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0.0003,,,,,
F,0.0004,,,,,M,0.0001,,,,,
M,0.0004,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
F,0.0007,,,,,M,0,,,,,
F,0.0001,,,,,M,0.0006,,,,,
F,0,,,,,M,0.0002,,,,,
M,0.0003,,,,,M,0.0001,,,,,
M,0,,,,,M,0.0004,,,,,
F,0.0002,,,,,M,0.0003,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0002,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0001,,,,,
M,0,,,,,M,0.0003,,,,,
M,0.0009,,,,,M,0.0002,,,,,
M,0.0004,,,,,M,0.0005,,,,,
M,0,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0,,,,,
F,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0003,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0018,,,,,
M,0,,,,,M,0.0014,,,,,
M,0,,,,,M,0.0001,,,,,
F,0.0001,,,,,M,0,,,,,
F,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
F,0.0003,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0.0001,,,,,M,0.0001,,,,,
F,0,,,,,M,0.0001,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
F,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0.0002,,,,,
M,0.0001,,,,,M,0.0002,,,,,
M,0.0003,,,,,M,0.0001,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0.0004,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
F,0.0002,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0,,,,,
M,0.0004,,,,,M,0,,,,,
M,0.0004,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0003,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0002,,,,,
M,0.0001,,,,,M,0.0013,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0.0002,,,,,
M,0.0001,,,,,M,0,,,,,
M,0.0003,,,,,M,0.0002,,,,,
M,0.0001,,,,,M,0,,,,,
F,0,,,,,M,0,,,,,
F,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0.0004,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0006,,,,,M,0,,,,,
M,0.0002,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
M,0.0004,,,,,M,0.0001,,,,,
M,0.0003,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0,,,,,
M,0,,,,,M,0.0001,,,,,
M,0,,,,,M,0,,,,,
M,0.0001,,,,,M,0,,,,,
M,0.0003,,,,,M,0.0012,,,,,
M,0.0002,,,,,M,0.0008,,,,,
F,0.0002,,,,,M,0.0014,,,,,
M,0.0005,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0002,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0004,,,,,
M,0,,,,,M,0,,,,,
M,0,,,,,M,0.0002,,,,,
F,0.0003,,,,,M,0.0001,,,,,
M,0.0018,,,,,M,0,,,,,
M,0.0014,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
F,0,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
F,0.0002,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
F,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0.0003,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
F,0,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0.0002,,,,,,,,,,,
F,0.0043,,,,,,,,,,,
M,0.0002,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
F,0.0001,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0.0001,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0003,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0002,,,,,,,,,,,
M,0.0013,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0.0001,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0.0002,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0002,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0012,,,,,,,,,,,
M,0.0008,,,,,,,,,,,
M,0.0014,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0.0001,,,,,,,,,,,
M,0.0002,,,,,,,,,,,
F,0.0001,,,,,,,,,,,
F,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0002,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0,,,,,,,,,,,
