Robert_Aderholt,Rep,Robert,Aderholt,R,AL,M,47,603,43,4947,62
senalexander,Sen,Lamar,Alexander,R,TN,M,72,532,43,11565,352
USRepAlexander,Rep,Rodney,Alexander,R,LA,M,66,189,27,2649,201
repjustinamash,Rep,Justin,Amash,R,MI,M,32,3895,27,24929,1389
markamodeinv2,Rep,Mark,Amodei,R,NV,M,54,416,17,2143,1177
BachusAL06,Rep,Spencer,Bachus,R,AL,M,65,370,42,5786,2
RepJoeBarton,Rep,Joe,Barton,R,TX,M,63,676,50,10844,58
repbecerra,Rep,Xavier,Becerra,D,CA,M,55,917,36,10357,1792
SanfordBishop,Rep,Sanford,Bishop,D,GA,M,66,478,26,3684,426
blumenauermedia,Rep,Earl,Blumenauer,D,OR,M,64,270,35,2130,247
RoyBlunt,Sen,Roy,Blunt,R,MO,M,63,2641,50,23410,7716
SpeakerBoehner,Rep,John,Boehner,R,OH,M,63,10431,69,468004,13700
senatorboxer,Sen,Barbara,Boxer,D,CA,F,72,979,57,25174,76
RepKevinBrady,Rep,Kevin,Brady,R,TX,M,57,2018,50,7951,223
RepCorrineBrown,Rep,Corrine,Brown,D,FL,F,66,542,23,2918,143
SenSherrodBrown,Sen,Sherrod,Brown,D,OH,M,60,805,47,27829,39
senatorburr,Sen,Richard,Burr,R,NC,M,57,971,50,18185,3852
RepBrady,Rep,Robert,Brady,D,PA,M,68,387,35,4501,546
JohnBoozman,Sen,John,Boozman,R,AR,M,62,921,72,12721,272
timbishopny,Rep,Timothy,Bishop,D,NY,M,62,466,34,3583,1969
MarshaBlackburn,Rep,Marsha,Blackburn,R,TN,F,60,996,24,8275,1781
repjobonner,Rep,Jo,Bonner,R,AL,M,53,517,31,3789,443
CandiceMiller,Rep,Madeleine,Bordallo,D,GU,F,79,362,58,6641,405
michaelcburgess,Rep,Michael,Burgess,R,TX,M,62,2513,56,10778,698
RepRobBishop,Rep,Rob,Bishop,R,UT,M,61,0,35,582,95
gkbutterfield,Rep,George,Butterfield,D,NC,M,65,250,16,1104,125
repjohnbarrow,Rep,John,Barrow,D,GA,M,57,436,49,4953,154
RepBoustany,Rep,Charles,Boustany,R,LA,M,57,133,26,2378,116
MicheleBachmann,Rep,Michele,Bachmann,R,MN,F,57,1996,52,175742,3955
RepGusBilirakis,Rep,Gus,Bilirakis,R,FL,M,50,2094,49,7788,1180
brucebraley,Rep,Bruce,Braley,D,IA,M,55,3782,48,14784,11417
VernBuchanan,Rep,Vern,Buchanan,R,FL,M,61,1380,50,12600,10741
SenJohnBarrasso,Sen,John,Barrasso,R,WY,M,60,946,30,8079,352
RepPaulBrounMD,Rep,Paul,Broun,R,GA,M,66,831,51,9965,2176
SenatorBegich,Sen,Mark,Begich,D,AK,M,51,2421,42,10862,484
SenBennetCo,Sen,Michael,Bennet,D,CO,M,48,638,28,10313,49
RepLouBarletta,Rep,Lou,Barletta,R,PA,M,57,888,27,4055,1666
RepKarenBass,Rep,Karen,Bass,D,CA,F,59,1053,27,16430,14975
CongressmanDan,Rep,Dan,Benishek,R,MI,M,60,136,26,7990,7752
RepDianeBlack,Rep,Diane,Black,R,TN,F,62,1268,38,5651,1119
RepMoBrooks,Rep,Mo,Brooks,R,AL,M,58,245,27,4611,1984
RepLarryBucshon,Rep,Larry,Bucshon,R,IN,M,50,1710,27,3757,681
SenBlumenthal,Sen,Richard,Blumenthal,D,CT,M,67,1250,24,8972,327
RepBonamici,Rep,Suzanne,Bonamici,D,OR,F,58,219,11,1540,803
RepRonBarber,Rep,Ron,Barber,D,AZ,M,67,273,9,993,5
repkerryb,Rep,Kerry,Bentivolio,R,MI,M,61,61,4,778,313
RepAndyBarr,Rep,Garland,Barr,R,KY,M,39,96,2,902,263
RepJBridenstine,Rep,Jim,Bridenstine,R,OK,M,37,193,2,1437,551
SusanWBrooks,Rep,Susan,Brooks,R,IN,F,52,74,3,706,73
RepCheri,Rep,Cheri,Bustos,D,IL,F,51,132,2,1471,1762
repbera,Rep,Ami,Bera,D,CA,M,48,157,4,880,37
KenCalvert,Rep,Ken,Calvert,R,CA,M,59,1165,50,2575,68
RepDaveCamp,Rep,Dave,Camp,R,MI,M,59,1403,49,12167,6961
CantwellPress,Sen,Maria,Cantwell,D,WA,F,54,241,38,4922,0
SenatorCardin,Sen,Benjamin,Cardin,D,MD,M,69,1772,38,14860,140
SenatorCarper,Sen,Thomas,Carper,D,DE,M,66,1773,26,6337,420
RepSteveChabot,Rep,Steve,Chabot,R,OH,M,60,427,27,3170,887
SaxbyChambliss,Sen,Saxby,Chambliss,R,GA,M,69,459,12,5096,183
DelegateDonna,Rep,Donna,Christensen,D,VI,F,67,740,25,2795,144
clyburn,Rep,James,Clyburn,D,SC,M,72,484,31,16736,860
sendancoats,Sen,Daniel,Coats,R,IN,M,69,1131,29,8809,436
HowardCoble,Rep,Howard,Coble,R,NC,M,82,505,22,2177,456
TomCoburn,Sen,Thomas,Coburn,R,OK,M,65,799,52,62467,139
SenThadCochran,Sen,Thad,Cochran,R,MS,M,75,229,11,3352,296
repjohnconyers,Rep,John,Conyers,D,MI,M,83,433,35,7127,468
repjimcooper,Rep,Jim,Cooper,D,TN,M,58,408,50,3882,257
mikecrapo,Sen,Michael,Crapo,R,ID,M,61,1528,10,2904,329
senatorcollins,Sen,Susan,Collins,R,ME,F,60,654,51,22362,518
RepLoisCapps,Rep,Lois,Capps,D,CA,F,75,931,23,3808,693
repjoecrowley,Rep,Joseph,Crowley,D,NY,M,51,540,38,3694,196
AnderCrenshaw,Rep,Ander,Crenshaw,R,FL,M,68,431,50,5517,113
gopleader,Rep,Eric,Cantor,R,VA,M,49,4911,51,142391,8872
RepShelley,Rep,Shelley,Capito,R,WV,F,59,667,31,5530,805
congculberson,Rep,John,Culberson,R,TX,M,56,525,49,4469,604
JudgeCarter,Rep,John,Carter,R,TX,M,71,2496,52,8317,2863
tomcoleok04,Rep,Tom,Cole,R,OK,M,63,50,49,3362,33
JohnCornyn,Sen,John,Cornyn,R,TX,M,61,8941,62,40188,8364
repjimcosta,Rep,Jim,Costa,D,CA,M,60,292,26,740,263
repcleaver,Rep,Emanuel,Cleaver,D,MO,M,68,681,33,6667,348
ConawayTX11,Rep,K.,Conaway,R,TX,M,64,415,23,2252,1422
RepCuellar,Rep,Henry,Cuellar,D,TX,M,57,780,29,4210,1390
RepJohnCampbell,Rep,John,Campbell,R,CA,M,57,306,26,3300,275
YvetteClarke,Rep,Yvette,Clarke,D,NY,F,48,1863,27,4482,2282
repcohen,Rep,Steve,Cohen,D,TN,M,63,836,33,6615,296
repjoecourtney,Rep,Joe,Courtney,D,CT,M,60,2438,42,5794,1735
SenBobCasey,Sen,Robert,Casey,D,PA,M,52,452,32,10227,169
SenBobCorker,Sen,Bob,Corker,R,TN,M,60,904,43,15006,363
RepAndreCarson,Rep,André,Carson,D,IN,M,38,1014,30,5571,522
jasoninthehouse,Rep,Jason,Chaffetz,R,UT,M,46,3625,53,36428,22141
RepMikeCoffman,Rep,Mike,Coffman,R,CO,M,58,1292,51,9456,1467
GerryConnolly,Rep,Gerald,Connolly,D,VA,M,63,1889,42,4266,153
RepJudyChu,Rep,Judy,Chu,D,CA,F,59,788,31,5157,816
johncarneyde,Rep,John,Carney,D,DE,M,56,1005,27,4075,728
repcicilline,Rep,David,Cicilline,D,RI,M,51,31,15,313,66
RepRickCrawford,Rep,Eric,Crawford,R,AR,M,47,424,27,3897,298
SenCoonsOffice,Sen,Chris,Coons,D,DE,M,49,1231,16,1437,103
RepCartwright,Rep,Matthew,Cartwright,D,PA,M,51,426,7,643,408
JoaquinCastrotx,Rep,Joaquin,Castro,D,TX,M,38,389,27,7211,396
RepChrisCollins,Rep,Chris,Collins,R,NY,M,62,229,3,519,30
RepDougCollins,Rep,Doug,Collins,R,GA,M,46,222,3,449,291
RepPaulCook,Rep,Paul,Cook,R,CA,M,70,13,3,244,69
RepTomCotton,Rep,Tom,Cotton,R,AR,M,35,143,4,940,209
RepKevinCramer,Rep,Kevin,Cramer,R,ND,M,52,123,3,623,210
SenTedCruz,Sen,Ted,Cruz,R,TX,M,42,308,3,42669,1875
RepPeterDeFazio,Rep,Peter,DeFazio,D,OR,M,65,183,26,4788,542
RepDianaDeGette,Rep,Diana,DeGette,D,CO,F,55,720,48,7224,7052
rosadelauro,Rep,Rosa,DeLauro,D,CT,F,70,1451,35,7653,602
john_dingell,Rep,John,Dingell,D,MI,M,86,1636,38,6471,954
RepLloydDoggett,Rep,Lloyd,Doggett,D,TX,M,66,865,34,6174,265
USRepMikeDoyle,Rep,Michael,Doyle,D,PA,M,59,339,47,5159,29
SenatorDurbin,Sen,Richard,Durbin,D,IL,M,68,1700,26,25276,684
MarioDB,Rep,Mario,Diaz-Balart,R,FL,M,51,1008,48,4373,134
SenDonnelly,Sen,Joe,Donnelly,D,IN,M,57,681,29,5864,249
repteddeutch,Rep,Theodore,Deutch,D,FL,M,46,755,35,5252,834
RepJeffDenham,Rep,Jeff,Denham,R,CA,M,45,1048,26,3525,1058
RepSeanDuffy,Rep,Sean,Duffy,R,WI,M,41,926,27,7519,2560
RepJeffDuncan,Rep,Jeff,Duncan,R,SC,M,47,1022,27,6270,1118
DesJarlaisTN04,Rep,Scott,DesJarlais,R,TN,M,49,716,27,3457,398
RepDelBene,Rep,Suzan,DelBene,D,WA,F,51,125,4,677,193
stevedaines,Rep,Steve,Daines,R,MT,M,50,69,64,758,37
