Robert_Aderholt,Rep,Robert,Aderholt,R,AL,M,47
senalexander,Sen,Lamar,Alexander,R,TN,M,72
USRepAlexander,Rep,Rodney,Alexander,R,LA,M,66
repjustinamash,Rep,Justin,Amash,R,MI,M,32
markamodeinv2,Rep,Mark,Amodei,R,NV,M,54
BachusAL06,Rep,Spencer,Bachus,R,AL,M,65
RepJoeBarton,Rep,Joe,Barton,R,TX,M,63
repbecerra,Rep,Xavier,Becerra,D,CA,M,55
SanfordBishop,Rep,Sanford,Bishop,D,GA,M,66
blumenauermedia,Rep,Earl,Blumenauer,D,OR,M,64
RoyBlunt,Sen,Roy,Blunt,R,MO,M,63
SpeakerBoehner,Rep,John,Boehner,R,OH,M,63
senatorboxer,Sen,Barbara,Boxer,D,CA,F,72
RepKevinBrady,Rep,Kevin,Brady,R,TX,M,57
RepCorrineBrown,Rep,Corrine,Brown,D,FL,F,66
SenSherrodBrown,Sen,Sherrod,Brown,D,OH,M,60
senatorburr,Sen,Richard,Burr,R,NC,M,57
RepBrady,Rep,Robert,Brady,D,PA,M,68
JohnBoozman,Sen,John,Boozman,R,AR,M,62
timbishopny,Rep,Timothy,Bishop,D,NY,M,62
MarshaBlackburn,Rep,Marsha,Blackburn,R,TN,F,60
repjobonner,Rep,Jo,Bonner,R,AL,M,53
CandiceMiller,Rep,Madeleine,Bordallo,D,GU,F,79
michaelcburgess,Rep,Michael,Burgess,R,TX,M,62
RepRobBishop,Rep,Rob,Bishop,R,UT,M,61
gkbutterfield,Rep,George,Butterfield,D,NC,M,65
repjohnbarrow,Rep,John,Barrow,D,GA,M,57
RepBoustany,Rep,Charles,Boustany,R,LA,M,57
MicheleBachmann,Rep,Michele,Bachmann,R,MN,F,57
RepGusBilirakis,Rep,Gus,Bilirakis,R,FL,M,50
brucebraley,Rep,Bruce,Braley,D,IA,M,55
VernBuchanan,Rep,Vern,Buchanan,R,FL,M,61
SenJohnBarrasso,Sen,John,Barrasso,R,WY,M,60
RepPaulBrounMD,Rep,Paul,Broun,R,GA,M,66
SenatorBegich,Sen,Mark,Begich,D,AK,M,51
SenBennetCo,Sen,Michael,Bennet,D,CO,M,48
RepLouBarletta,Rep,Lou,Barletta,R,PA,M,57
RepKarenBass,Rep,Karen,Bass,D,CA,F,59
CongressmanDan,Rep,Dan,Benishek,R,MI,M,60
RepDianeBlack,Rep,Diane,Black,R,TN,F,62
RepMoBrooks,Rep,Mo,Brooks,R,AL,M,58
RepLarryBucshon,Rep,Larry,Bucshon,R,IN,M,50
SenBlumenthal,Sen,Richard,Blumenthal,D,CT,M,67
RepBonamici,Rep,Suzanne,Bonamici,D,OR,F,58
RepRonBarber,Rep,Ron,Barber,D,AZ,M,67
repkerryb,Rep,Kerry,Bentivolio,R,MI,M,61
RepAndyBarr,Rep,Garland,Barr,R,KY,M,39
RepJBridenstine,Rep,Jim,Bridenstine,R,OK,M,37
SusanWBrooks,Rep,Susan,Brooks,R,IN,F,52
RepCheri,Rep,Cheri,Bustos,D,IL,F,51
repbera,Rep,Ami,Bera,D,CA,M,48
KenCalvert,Rep,Ken,Calvert,R,CA,M,59
RepDaveCamp,Rep,Dave,Camp,R,MI,M,59
CantwellPress,Sen,Maria,Cantwell,D,WA,F,54
SenatorCardin,Sen,Benjamin,Cardin,D,MD,M,69
SenatorCarper,Sen,Thomas,Carper,D,DE,M,66
RepSteveChabot,Rep,Steve,Chabot,R,OH,M,60
SaxbyChambliss,Sen,Saxby,Chambliss,R,GA,M,69
DelegateDonna,Rep,Donna,Christensen,D,VI,F,67
clyburn,Rep,James,Clyburn,D,SC,M,72
sendancoats,Sen,Daniel,Coats,R,IN,M,69
HowardCoble,Rep,Howard,Coble,R,NC,M,82
TomCoburn,Sen,Thomas,Coburn,R,OK,M,65
SenThadCochran,Sen,Thad,Cochran,R,MS,M,75
repjohnconyers,Rep,John,Conyers,D,MI,M,83
repjimcooper,Rep,Jim,Cooper,D,TN,M,58
mikecrapo,Sen,Michael,Crapo,R,ID,M,61
senatorcollins,Sen,Susan,Collins,R,ME,F,60
RepLoisCapps,Rep,Lois,Capps,D,CA,F,75
repjoecrowley,Rep,Joseph,Crowley,D,NY,M,51
AnderCrenshaw,Rep,Ander,Crenshaw,R,FL,M,68
gopleader,Rep,Eric,Cantor,R,VA,M,49
RepShelley,Rep,Shelley,Capito,R,WV,F,59
congculberson,Rep,John,Culberson,R,TX,M,56
JudgeCarter,Rep,John,Carter,R,TX,M,71
tomcoleok04,Rep,Tom,Cole,R,OK,M,63
JohnCornyn,Sen,John,Cornyn,R,TX,M,61
repjimcosta,Rep,Jim,Costa,D,CA,M,60
repcleaver,Rep,Emanuel,Cleaver,D,MO,M,68
ConawayTX11,Rep,K.,Conaway,R,TX,M,64
RepCuellar,Rep,Henry,Cuellar,D,TX,M,57
RepJohnCampbell,Rep,John,Campbell,R,CA,M,57
YvetteClarke,Rep,Yvette,Clarke,D,NY,F,48
repcohen,Rep,Steve,Cohen,D,TN,M,63
repjoecourtney,Rep,Joe,Courtney,D,CT,M,60
SenBobCasey,Sen,Robert,Casey,D,PA,M,52
SenBobCorker,Sen,Bob,Corker,R,TN,M,60
RepAndreCarson,Rep,André,Carson,D,IN,M,38
jasoninthehouse,Rep,Jason,Chaffetz,R,UT,M,46
RepMikeCoffman,Rep,Mike,Coffman,R,CO,M,58
GerryConnolly,Rep,Gerald,Connolly,D,VA,M,63
RepJudyChu,Rep,Judy,Chu,D,CA,F,59
johncarneyde,Rep,John,Carney,D,DE,M,56
repcicilline,Rep,David,Cicilline,D,RI,M,51
RepRickCrawford,Rep,Eric,Crawford,R,AR,M,47
SenCoonsOffice,Sen,Chris,Coons,D,DE,M,49
RepCartwright,Rep,Matthew,Cartwright,D,PA,M,51
JoaquinCastrotx,Rep,Joaquin,Castro,D,TX,M,38
RepChrisCollins,Rep,Chris,Collins,R,NY,M,62
RepDougCollins,Rep,Doug,Collins,R,GA,M,46
RepPaulCook,Rep,Paul,Cook,R,CA,M,70
RepTomCotton,Rep,Tom,Cotton,R,AR,M,35
RepKevinCramer,Rep,Kevin,Cramer,R,ND,M,52
SenTedCruz,Sen,Ted,Cruz,R,TX,M,42
RepPeterDeFazio,Rep,Peter,DeFazio,D,OR,M,65
RepDianaDeGette,Rep,Diana,DeGette,D,CO,F,55
rosadelauro,Rep,Rosa,DeLauro,D,CT,F,70
john_dingell,Rep,John,Dingell,D,MI,M,86
RepLloydDoggett,Rep,Lloyd,Doggett,D,TX,M,66
USRepMikeDoyle,Rep,Michael,Doyle,D,PA,M,59
SenatorDurbin,Sen,Richard,Durbin,D,IL,M,68
MarioDB,Rep,Mario,Diaz-Balart,R,FL,M,51
SenDonnelly,Sen,Joe,Donnelly,D,IN,M,57
repteddeutch,Rep,Theodore,Deutch,D,FL,M,46
RepJeffDenham,Rep,Jeff,Denham,R,CA,M,45
RepSeanDuffy,Rep,Sean,Duffy,R,WI,M,41
RepJeffDuncan,Rep,Jeff,Duncan,R,SC,M,47
DesJarlaisTN04,Rep,Scott,DesJarlais,R,TN,M,49
RepDelBene,Rep,Suzan,DelBene,D,WA,F,51
stevedaines,Rep,Steve,Daines,R,MT,M,50
RodneyDavis,Rep,Rodney,Davis,R,IL,M,43
RepJohnDelaney,Rep,John,Delaney,D,MD,M,49
RepDeSantis,Rep,Ron,DeSantis,R,FL,M,34
repduckworth,Rep,Tammy,Duckworth,D,IL,F,45
RepEliotEngel,Rep,Eliot,Engel,D,NY,M,66
RepAnnaEshoo,Rep,Anna,Eshoo,D,CA,F,70
SenatorEnzi,Sen,Michael,Enzi,R,WY,M,69
keithellison,Rep,Keith,Ellison,D,MN,M,49
repdonnaedwards,Rep,Donna,Edwards,D,MD,F,54
